People,"Madison city, Wisconsin","Minneapolis city, Minnesota","San Francisco city, California","Austin city, Texas","Philadelphia city, Pennsylvania","New York city, New York","Los Angeles city, California","Seattle city, Washington","Portland city, Oregon","Miami city, Florida","Charlottesville city, Virginia"
"Bachelor's degree or higher, percent of persons age 25 years+, 2009-2013",53.8,45.7,52.4,45.6,23.9,34.5,31.1,57.4,43.8,23.1,49.9
"Mean travel time to work (minutes), workers age 16 years+, 2009-2013",19.1,22.3,30.5,22.9,31.8,39.2,29.2,25.4,24.4,26.2,17.4
"Median gross rent, 2009-2013",906,836,1488,978,893,1200,1175,1091,915,946,993
"Median household income (in 2013 dollars), 2009-2013",53464,49885,75604,53946,37192,52259,49497,65277,52657,30375,44601
"Median selected monthly owner costs -with a mortgage, 2009-2013",1667,1659,3227,1737,1249,2555,2569,2312,1774,1875,1736
"Median selected monthly owner costs -without a mortgage, 2009-2013",667,571,533,648,435,803,589,675,574,520,507
"Median value of owner-occupied housing units, 2009-2013",214100,208100,744600,220500,142500,492800,446100,433800,284900,217600,293000
"Owner-occupied housing unit rate, 2009-2013",49.3,49.2,36.6,45,53.3,32.2,37.6,46.8,53.4,32.8,40.5
"Per capita income in past 12 months (in 2013 dollars), 2009-2013",31322,31281,48486,31990,22279,32010,27829,43237,31839,21120,27268
"Persons  without health insurance, under age 65 years, percent",8.6,13.4,12.6,22.2,16.3,15.8,28.3,12.6,17.5,40.1,12.1
"Persons in poverty, percent",19.4,22.5,13.5,19.1,26.5,20.3,22,13.6,17.8,29.9,27.5
"Population per square mile, 2010",3037,7088.3,17179.1,2653.2,11379.5,27012.5,8092.3,7250.9,4375.2,11135.9,4246.4
"Population, Census, April 1, 2010",233209,382578,805235,790390,1526006,8175133,3792621,608660,583776,399457,43475
"Veteran-owned firms, 2007",1229,2558,4935,6375,6620,41260,25897,5078,5010,3355,644
"Veterans, 2009-2013",11208,16837,29478,39259,74487,202711,107622,32864,33951,7390,1742
Bikeability Score,73,81,75,52,68,65,56,63,72,60,57
"Max Temp, F, 2014",93,91,95,104,96,92,103,95,99,95,96
"Min Temp, F, 2014",-18,-22,41,22,3,4,39,21,19,46,1
Employment Status: Armed Forces(2014),135,52,365,557,312,2718,1070,1305,149,170,95
Worked at Home (2014),5166,11047,32233,31286,"18,076","151,357","101,124","24,384","23,312","6,029","1,360"
#of establishments in the Information Industry (2012),206,390,1331,850,540,6215,5526,862,540,381,63
# of workers in the information industry (2012),4622,9632,49681,25007,"22,421","182,826","78,511","26,680","10,512","4,917","1,547"
annual payroll for workers in the information industry(in $1000s)(2012),302532,763099,"7,210,781",2001737,"1,538,693","18,471,819","7,539,805","2,831,130","770,170","372,773","124,792"
