id,word_count,mean_word_length
1,31.00,4.161290323
2,47.00,4.425531915
3,21.00,3.714285714
4,7.00,3.857142857
5,24.00,3.541666667
6,10.00,3.1
7,4.00,5.75
8,17.00,4.117647059
9,83.00,3.855421687
10,6.00,4.333333333
11,1.00,2
12,6.00,3.333333333
13,19.00,3.789473684
14,2.00,2.5
15,5.00,3.6
16,13.00,3.769230769
17,20.00,3.85
18,1.00,6
19,6.00,3.833333333
20,346.00,3.933526012
21,186.00,4.349462366
22,196.00,4.076530612
23,8.00,4.625
24,45.00,4.111111111
25,72.00,4.180555556
26,80.00,4.35
27,9.00,4.888888889
28,19.00,4.210526316
29,11.00,4.090909091
30,28.00,4.178571429
31,23.00,3.956521739
32,15.00,3.4
33,75.00,4.173333333
34,10.00,3.1
35,28.00,3.857142857
36,52.00,3.673076923
37,7.00,4.714285714
38,78.00,3.743589744
39,42.00,4.333333333
40,112.00,5
41,23.00,4.434782609
42,108.00,4.185185185
43,151.00,4.470198675
44,63.00,4.555555556
45,168.00,4.702380952
46,54.00,4.814814815
47,40.00,4.45
48,24.00,4.75
49,28.00,5.285714286
50,56.00,4.160714286
51,96.00,4.03125
52,49.00,4.12244898
53,1.00,2
54,9.00,4.444444444
55,35.00,3.857142857
56,111.00,4.558558559
57,189.00,4.555555556
58,1.00,2
59,26.00,3.923076923
60,27.00,4.518518519
61,12.00,4.25
62,33.00,3.454545455
63,96.00,4.03125
64,20.00,3.75
65,1.00,2
66,13.00,4.230769231
67,67.00,4.791044776
68,42.00,4.023809524
69,12.00,4.5
70,6.00,4.666666667
71,53.00,4.056603774
72,22.00,4.136363636
73,8.00,4.625
74,47.00,4.170212766
75,31.00,4.419354839
76,50.00,4.06
77,1.00,2
78,14.00,3.571428571
79,75.00,3.813333333
80,48.00,4.666666667
81,223.00,4.627802691
82,92.00,4.315217391
83,113.00,4.345132743
84,69.00,4.913043478
85,57.00,5.035087719
86,114.00,4.605263158
87,60.00,4.183333333
88,51.00,4.607843137
89,111.00,4.612612613
90,39.00,4.794871795
91,34.00,4.705882353
92,31.00,4.64516129
93,56.00,4.392857143
94,32.00,4.46875
95,9.00,5
96,18.00,4.222222222
97,45.00,4.333333333
98,2.00,4.5
99,64.00,3.921875
100,6.00,4
101,2.00,4
102,451.00,4.035476718
103,221.00,4.656108597
104,831.00,4.263537906
105,42.00,4.261904762
106,17.00,4.823529412
107,120.00,4.158333333
108,55.00,3.872727273
109,11.00,4.818181818
110,154.00,4.357142857
111,104.00,4.490384615
112,55.00,4.563636364
113,103.00,4.524271845
114,15.00,3.8
115,24.00,3.333333333
116,3.00,4
117,84.00,4.047619048
118,130.00,4.2
119,52.00,4.25
120,24.00,4.75
121,67.00,4.656716418
122,5.00,4
123,15.00,5.333333333
124,10.00,4
125,62.00,4.403225806
126,12.00,6
127,7.00,5.285714286
128,8.00,3.875
129,9.00,2.888888889
130,102.00,4.392156863
131,66.00,4.742424242
132,35.00,4.028571429
133,145.00,4.724137931
134,94.00,4.882978723
135,88.00,4.454545455
136,293.00,4.122866894
137,4.00,3.25
138,4.00,3.25
139,23.00,3.739130435
140,73.00,4.150684932
141,26.00,3.884615385
142,2.00,4
143,44.00,3.840909091
144,51.00,3.843137255
145,106.00,4.537735849
146,8.00,3.625
147,169.00,4.272189349
148,78.00,4.012820513
149,20.00,3.3
150,39.00,3.282051282
151,74.00,4.189189189
152,12.00,5.416666667
153,86.00,4.720930233
154,22.00,5
155,112.00,4.696428571
156,105.00,4.838095238
157,114.00,4.570175439
158,63.00,4.619047619
159,25.00,5
160,118.00,4.720338983
161,113.00,4.168141593
162,96.00,4.489583333
163,14.00,4.5
164,6.00,3.833333333
165,128.00,4.203125
166,6.00,3.333333333
167,31.00,4.903225806
168,129.00,4.255813953
169,39.00,4.692307692
170,31.00,4.64516129
171,23.00,4.782608696
172,100.00,4.39
173,6.00,4.166666667
174,103.00,4.475728155
175,48.00,4.041666667
176,28.00,4.5
177,45.00,4.088888889
178,148.00,4.358108108
179,8.00,4.25
180,11.00,3.181818182
181,22.00,3.954545455
182,15.00,4.466666667
183,7.00,5
184,33.00,4.696969697
185,7.00,3.714285714
186,127.00,4.228346457
187,26.00,4.269230769
188,114.00,4.719298246
189,24.00,3.916666667
190,81.00,4.75308642
191,101.00,4.643564356
